variant_id,product_id,source_variant_id,sku_or_reference,color_name,size_name,price,currency,compare_at_price,availability_status,variant_url,source_last_seen_at,evidence_file,evidence_method
zara-us:00122342:551789038-412-2,zara-us:00122342,551789038-412-2,551789038-412-2,Blue marl,S,69.90,USD,,https://schema.org/OutOfStock,https://www.zara.com/us/en/relaxed-fit-washed-effect-shirt-p00122342.html?v1=551789038,2026-09-06T04:26:33.619Z,data\raw\zara\00122342.json,JSON-LD ProductGroup.hasVariant
zara-us:00122342:551789038-412-3,zara-us:00122342,551789038-412-3,551789038-412-3,Blue marl,M,69.90,USD,,https://schema.org/OutOfStock,https://www.zara.com/us/en/relaxed-fit-washed-effect-shirt-p00122342.html?v1=551789038,2026-09-06T04:26:33.619Z,data\raw\zara\00122342.json,JSON-LD ProductGroup.hasVariant
zara-us:00122342:551789038-412-4,zara-us:00122342,551789038-412-4,551789038-412-4,Blue marl,L,69.90,USD,,https://schema.org/OutOfStock,https://www.zara.com/us/en/relaxed-fit-washed-effect-shirt-p00122342.html?v1=551789038,2026-09-06T04:26:33.619Z,data\raw\zara\00122342.json,JSON-LD ProductGroup.hasVariant
zara-us:00122342:551789038-412-5,zara-us:00122342,551789038-412-5,551789038-412-5,Blue marl,XL,69.90,USD,,https://schema.org/OutOfStock,https://www.zara.com/us/en/relaxed-fit-washed-effect-shirt-p00122342.html?v1=551789038,2026-09-06T04:26:33.619Z,data\raw\zara\00122342.json,JSON-LD ProductGroup.hasVariant
zara-us:00794102:577296192-916-2,zara-us:00794102,577296192-916-2,577296192-916-2,Gray green,S,79.90,USD,,https://schema.org/InStock,https://www.zara.com/us/en/relaxed-fit-plaid-shirt-p00794102.html?v1=577296192,2026-09-06T04:24:21.207Z,data\raw\zara\00794102.json,JSON-LD ProductGroup.hasVariant
zara-us:00794102:577296192-916-3,zara-us:00794102,577296192-916-3,577296192-916-3,Gray green,M,79.90,USD,,https://schema.org/InStock,https://www.zara.com/us/en/relaxed-fit-plaid-shirt-p00794102.html?v1=577296192,2026-09-06T04:24:21.207Z,data\raw\zara\00794102.json,JSON-LD ProductGroup.hasVariant
zara-us:00794102:577296192-916-4,zara-us:00794102,577296192-916-4,577296192-916-4,Gray green,L,79.90,USD,,https://schema.org/InStock,https://www.zara.com/us/en/relaxed-fit-plaid-shirt-p00794102.html?v1=577296192,2026-09-06T04:24:21.207Z,data\raw\zara\00794102.json,JSON-LD ProductGroup.hasVariant
zara-us:00794102:577296192-916-5,zara-us:00794102,577296192-916-5,577296192-916-5,Gray green,XL,79.90,USD,,https://schema.org/InStock,https://www.zara.com/us/en/relaxed-fit-plaid-shirt-p00794102.html?v1=577296192,2026-09-06T04:24:21.207Z,data\raw\zara\00794102.json,JSON-LD ProductGroup.hasVariant
zara-us:00975847:583785623-510-2,zara-us:00975847,583785623-510-2,583785623-510-2,Oil,S,69.90,USD,,https://schema.org/OutOfStock,https://www.zara.com/us/en/regular-fit-pocket-shirt-p00975847.html?v1=583785623,2026-09-06T04:24:34.207Z,data\raw\zara\00975847.json,JSON-LD ProductGroup.hasVariant
zara-us:00975847:583785623-510-3,zara-us:00975847,583785623-510-3,583785623-510-3,Oil,M,69.90,USD,,https://schema.org/OutOfStock,https://www.zara.com/us/en/regular-fit-pocket-shirt-p00975847.html?v1=583785623,2026-09-06T04:24:34.207Z,data\raw\zara\00975847.json,JSON-LD ProductGroup.hasVariant
zara-us:00975847:583785623-510-4,zara-us:00975847,583785623-510-4,583785623-510-4,Oil,L,69.90,USD,,https://schema.org/OutOfStock,https://www.zara.com/us/en/regular-fit-pocket-shirt-p00975847.html?v1=583785623,2026-09-06T04:24:34.207Z,data\raw\zara\00975847.json,JSON-LD ProductGroup.hasVariant
zara-us:00975847:583785623-510-5,zara-us:00975847,583785623-510-5,583785623-510-5,Oil,XL,69.90,USD,,https://schema.org/OutOfStock,https://www.zara.com/us/en/regular-fit-pocket-shirt-p00975847.html?v1=583785623,2026-09-06T04:24:34.207Z,data\raw\zara\00975847.json,JSON-LD ProductGroup.hasVariant
zara-us:00975853:574330860-044-2,zara-us:00975853,574330860-044-2,574330860-044-2,Blue / White,S,69.90,USD,,https://schema.org/InStock,https://www.zara.com/us/en/regular-fit-plaid-shirt-p00975853.html?v1=574330860,2026-09-06T04:24:22.866Z,data\raw\zara\00975853.json,JSON-LD ProductGroup.hasVariant
zara-us:00975853:574330860-044-3,zara-us:00975853,574330860-044-3,574330860-044-3,Blue / White,M,69.90,USD,,https://schema.org/InStock,https://www.zara.com/us/en/regular-fit-plaid-shirt-p00975853.html?v1=574330860,2026-09-06T04:24:22.866Z,data\raw\zara\00975853.json,JSON-LD ProductGroup.hasVariant
zara-us:00975853:574330860-044-4,zara-us:00975853,574330860-044-4,574330860-044-4,Blue / White,L,69.90,USD,,https://schema.org/InStock,https://www.zara.com/us/en/regular-fit-plaid-shirt-p00975853.html?v1=574330860,2026-09-06T04:24:22.866Z,data\raw\zara\00975853.json,JSON-LD ProductGroup.hasVariant
zara-us:00975853:574330860-044-5,zara-us:00975853,574330860-044-5,574330860-044-5,Blue / White,XL,69.90,USD,,https://schema.org/InStock,https://www.zara.com/us/en/regular-fit-plaid-shirt-p00975853.html?v1=574330860,2026-09-06T04:24:22.866Z,data\raw\zara\00975853.json,JSON-LD ProductGroup.hasVariant
zara-us:01030731:571545044-250-2,zara-us:01030731,571545044-250-2,571545044-250-2,White,S,69.90,USD,,https://schema.org/InStock,https://www.zara.com/us/en/striped-boxy-fit-shirt-p01030731.html?v1=571545044,2026-09-06T04:24:17.111Z,data\raw\zara\01030731.json,JSON-LD ProductGroup.hasVariant
zara-us:01030731:571545044-250-3,zara-us:01030731,571545044-250-3,571545044-250-3,White,M,69.90,USD,,https://schema.org/OutOfStock,https://www.zara.com/us/en/striped-boxy-fit-shirt-p01030731.html?v1=571545044,2026-09-06T04:24:17.111Z,data\raw\zara\01030731.json,JSON-LD ProductGroup.hasVariant
zara-us:01030731:571545044-250-4,zara-us:01030731,571545044-250-4,571545044-250-4,White,L,69.90,USD,,https://schema.org/InStock,https://www.zara.com/us/en/striped-boxy-fit-shirt-p01030731.html?v1=571545044,2026-09-06T04:24:17.111Z,data\raw\zara\01030731.json,JSON-LD ProductGroup.hasVariant
zara-us:01030731:571545044-250-5,zara-us:01030731,571545044-250-5,571545044-250-5,White,XL,69.90,USD,,https://schema.org/InStock,https://www.zara.com/us/en/striped-boxy-fit-shirt-p01030731.html?v1=571545044,2026-09-06T04:24:17.111Z,data\raw\zara\01030731.json,JSON-LD ProductGroup.hasVariant
zara-us:01030731:571545044-400-2,zara-us:01030731,571545044-400-2,571545044-400-2,Blue,S,69.90,USD,,https://schema.org/InStock,https://www.zara.com/us/en/striped-boxy-fit-shirt-p01030731.html?v1=571545042,2026-09-06T04:24:17.111Z,data\raw\zara\01030731.json,JSON-LD ProductGroup.hasVariant
zara-us:01030731:571545044-400-3,zara-us:01030731,571545044-400-3,571545044-400-3,Blue,M,69.90,USD,,https://schema.org/InStock,https://www.zara.com/us/en/striped-boxy-fit-shirt-p01030731.html?v1=571545042,2026-09-06T04:24:17.111Z,data\raw\zara\01030731.json,JSON-LD ProductGroup.hasVariant
